Países,Código NCM,Descrição NCM,Unidade estatística,Ano,Valor_FOB_USD,Peso_Kg,Quantidade
China,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2023,131,30,30
Tailândia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2023,0,0,0
Dinamarca,22072019,Outro álcool etílico desnaturado,LITRO,2023,0,0,0
Filipinas,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2023,0,0,0
Suíça,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2023,0,0,0
França,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2023,266,12,15
Malásia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2023,28,10,10
Índia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2023,26,14,0
Egito,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2023,0,0,0
Estados Unidos,22072019,Outro álcool etílico desnaturado,LITRO,2023,0,0,0
China,22072019,Outro álcool etílico desnaturado,LITRO,2023,0,0,0
Dinamarca,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2023,0,0,0
Tailândia,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2023,0,0,0
Tailândia,22072019,Outro álcool etílico desnaturado,LITRO,2023,0,0,0
Índia,22072019,Outro álcool etílico desnaturado,LITRO,2023,0,0,0
Alemanha,22072019,Outro álcool etílico desnaturado,LITRO,2023,0,0,0
Canadá,22072019,Outro álcool etílico desnaturado,LITRO,2023,0,0,0
Filipinas,22072019,Outro álcool etílico desnaturado,LITRO,2023,0,0,0
Itália,22072019,Outro álcool etílico desnaturado,LITRO,2023,0,0,0
Suécia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2023,0,0,0
Suíça,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2023,0,0,0
China,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2023,0,0,0
Reino Unido,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2023,0,0,0
Filipinas,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2023,0,0,0
Itália,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2023,0,0,0
França,22072019,Outro álcool etílico desnaturado,LITRO,2023,0,0,0
Colômbia,22072019,Outro álcool etílico desnaturado,LITRO,2023,0,0,0
Estados Unidos,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2023,0,0,0
Alemanha,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2023,0,0,0
